Class,Precision,Recall,F1-Score
1,100.00%,33.33%,50.00%
2,100.00%,100.00%,100.00%
3,100.00%,100.00%,100.00%
4,100.00%,100.00%,100.00%
5,66.67%,100.00%,80.00%
6,100.00%,100.00%,100.00%
7,100.00%,100.00%,100.00%
8,100.00%,100.00%,100.00%
9,100.00%,100.00%,100.00%
10,100.00%,100.00%,100.00%
11,100.00%,100.00%,100.00%
12,100.00%,100.00%,100.00%
13,100.00%,100.00%,100.00%
14,100.00%,100.00%,100.00%
15,100.00%,100.00%,100.00%
16,100.00%,100.00%,100.00%
17,100.00%,100.00%,100.00%
18,33.33%,50.00%,40.00%
Global,,Accuracy,93.02%
