Class,Precision,Recall,F1-Score
1,33.33%,25.00%,28.57%
2,100.00%,100.00%,100.00%
3,100.00%,100.00%,100.00%
4,100.00%,33.33%,50.00%
5,100.00%,100.00%,100.00%
6,100.00%,100.00%,100.00%
7,100.00%,100.00%,100.00%
8,100.00%,50.00%,66.67%
9,100.00%,100.00%,100.00%
10,100.00%,66.67%,80.00%
11,66.67%,100.00%,80.00%
12,100.00%,66.67%,80.00%
13,100.00%,100.00%,100.00%
14,66.67%,100.00%,80.00%
15,100.00%,100.00%,100.00%
16,66.67%,100.00%,80.00%
17,100.00%,100.00%,100.00%
18,40.00%,100.00%,57.14%
Global,,Accuracy,81.40%
