TrueLabel,ConfidenceScore
1,0.93933
1,0.95374
1,0.949021
2,0.984432
2,0.985014
2,0.939652
3,0.969174
3,0.960429
4,0.96541
4,0.962684
5,0.972681
5,0.977778
6,0.992131
6,0.992754
6,0.992124
7,0.976799
7,0.970607
7,0.970036
8,0.978829
8,0.969397
9,0.971726
9,0.971976
10,0.958601
10,0.946849
10,0.949319
11,0.965432
11,0.959455
12,0.965902
12,0.971338
13,0.964184
13,0.963092
14,0.975047
14,0.971404
15,0.969096
15,0.967751
16,0.973079
16,0.975451
16,0.975504
17,0.968612
17,0.973884
17,0.966311
18,0.958462
18,0.963446
