TrueLabel,ConfidenceScore
1,0.961661
1,0.980539
2,0.955529
2,0.958417
2,0.973522
3,0.987721
3,0.985877
4,0.979788
4,0.985006
4,0.986776
5,0.979541
5,0.973564
6,0.974688
6,0.967638
7,0.964257
7,0.977295
8,0.986323
8,0.987737
9,0.974154
9,0.957378
9,0.970521
10,0.967799
10,0.970255
11,0.974727
11,0.978166
11,0.971758
12,0.967393
12,0.964559
13,0.955084
13,0.979682
14,0.974345
14,0.950506
14,0.965256
15,0.962006
15,0.97462
15,0.977822
16,0.977663
16,0.979406
17,0.958325
17,0.958183
18,0.958739
18,0.972688
18,0.950371
