TrueLabel,ConfidenceScore
1,0.943313
1,0.941957
2,0.984737
2,0.975592
2,0.955233
3,0.95126
3,0.973941
3,0.974108
4,0.942552
4,0.952739
5,0.956712
5,0.974052
5,0.972941
6,0.97472
6,0.976551
7,0.970165
7,0.974536
7,0.973319
8,0.964223
8,0.964631
8,0.960381
9,0.973892
9,0.975321
10,0.931056
10,0.943531
11,0.980302
11,0.976343
12,0.985463
12,0.970305
13,0.960722
13,0.963817
14,0.972469
14,0.958831
14,0.958596
15,0.975971
15,0.968075
15,0.93762
16,0.969719
16,0.964068
17,0.980168
17,0.975477
18,0.954405
18,0.959023
